Movie_ID,Genre_ID
1,1
760,1
1519,1
2,1
761,1
1520,1
3,1
762,1
1521,1
4,1
763,1
1522,1
5,1
764,1
1523,1
6,1
765,1
1524,1
7,1
766,1
1525,1
8,1
767,1
1526,1
9,1
768,1
1527,1
10,1
769,1
1528,1
11,1
770,1
1529,1
12,1
771,1
1530,1
13,1
772,1
1531,1
14,1
773,1
1532,1
15,1
774,1
1533,1
16,1
775,1
1534,1
17,1
776,1
1535,1
18,1
777,1
1536,1
19,1
778,1
1537,1
20,1
779,1
1538,1
21,1
780,1
1539,1
22,1
781,1
1540,1
23,1
782,1
1541,1
24,1
783,1
1542,1
25,1
784,1
1543,1
26,1
785,1
1544,1
27,1
786,1
1545,1
28,1
787,1
1546,1
29,1
788,1
1547,1
30,1
789,1
1548,1
31,1
790,1
1549,1
32,1
791,1
1550,1
33,1
792,1
1551,1
34,1
793,1
1552,1
35,1
794,1
1553,1
36,1
795,1
1554,1
37,1
796,1
1555,1
38,1
797,1
1556,1
39,3
798,3
1557,3
40,1
799,1
1558,1
41,1
800,1
1559,1
42,1
801,1
1560,1
43,1
802,1
1561,1
44,1
803,1
1562,1
45,1
804,1
1563,1
46,1
805,1
1564,1
47,1
806,1
1565,1
48,1
807,1
1566,1
49,1
808,1
1567,1
50,1
809,1
1568,1
51,1
810,1
1569,1
52,1
811,1
1570,1
53,1
812,1
1571,1
54,1
813,1
1572,1
55,1
814,1
1573,1
56,1
815,1
1574,1
57,1
816,1
1575,1
58,1
817,1
1576,1
59,1
818,1
1577,1
60,1
819,1
1578,1
61,1
820,1
1579,1
62,1
821,1
1580,1
63,1
822,1
1581,1
64,1
823,1
1582,1
65,1
824,1
1583,1
66,1
825,1
1584,1
67,1
826,1
1585,1
68,1
827,1
1586,1
69,1
828,1
1587,1
70,1
829,1
1588,1
71,1
830,1
1589,1
72,1
831,1
1590,1
73,1
832,1
1591,1
74,1
833,1
1592,1
75,1
834,1
1593,1
76,1
835,1
1594,1
77,1
836,1
1595,1
78,1
837,1
1596,1
79,1
838,1
1597,1
80,1
839,1
1598,1
81,1
840,1
1599,1
82,1
841,1
1600,1
83,1
842,1
1601,1
84,1
843,1
1602,1
85,1
844,1
1603,1
86,1
845,1
1604,1
87,1
846,1
1605,1
88,1
847,1
1606,1
89,1
848,1
1607,1
90,1
849,1
1608,1
91,1
850,1
1609,1
92,1
851,1
1610,1
93,1
852,1
1611,1
94,4
853,4
1612,4
95,1
854,1
1613,1
96,1
855,1
1614,1
97,1
856,1
1615,1
98,1
857,1
1616,1
99,1
858,1
1617,1
100,1
859,1
1618,1
101,1
860,1
1619,1
102,5
861,5
1620,5
103,4
862,4
1621,4
104,4
863,4
1622,4
105,5
864,5
1623,5
106,6
865,6
1624,6
107,5
866,5
1625,5
108,5
867,5
1626,5
109,4
868,4
1627,4
110,1
869,1
1628,1
111,1
870,1
1629,1
112,2
871,2
1630,2
113,1
872,1
1631,1
114,4
873,4
1632,4
115,4
874,4
1633,4
116,6
875,6
1634,6
117,1
876,1
1635,1
118,4
877,4
1636,4
119,5
878,5
1637,5
120,5
879,5
1638,5
121,1
880,1
1639,1
122,1
881,1
1640,1
123,2
882,2
1641,2
124,3
883,3
1642,3
125,5
884,5
1643,5
126,5
885,5
1644,5
127,3
886,3
1645,3
128,4
887,4
1646,4
129,1
888,1
1647,1
130,4
889,4
1648,4
131,1
890,1
1649,1
132,5
891,5
1650,5
133,1
892,1
1651,1
134,6
893,6
1652,6
135,4
894,4
1653,4
136,5
895,5
1654,5
137,6
896,6
1655,6
138,1
897,1
1656,1
139,4
898,4
1657,4
140,1
899,1
1658,1
141,1
900,1
1659,1
142,5
901,5
1660,5
143,1
902,1
1661,1
144,5
903,5
1662,5
145,1
904,1
1663,1
146,1
905,1
1664,1
147,5
906,5
1665,5
148,5
907,5
1666,5
149,2
908,2
1667,2
150,5
909,5
1668,5
151,1
910,1
1669,1
152,5
911,5
1670,5
153,1
912,1
1671,1
154,1
913,1
1672,1
155,1
914,1
1673,1
156,1
915,1
1674,1
157,1
916,1
1675,1
158,5
917,5
1676,5
159,5
918,5
1677,5
160,1
919,1
1678,1
161,5
920,5
1679,5
162,5
921,5
1680,5
163,1
922,1
1681,1
164,1
923,1
1682,1
165,1
924,1
1683,1
166,1
925,1
1684,1
167,1
926,1
1685,1
168,1
927,1
1686,1
169,1
928,1
1687,1
170,6
929,6
1688,6
171,5
930,5
1689,5
172,1
931,1
1690,1
173,1
932,1
1691,1
174,1
933,1
1692,1
175,1
934,1
1693,1
176,1
935,1
1694,1
177,1
936,1
1695,1
178,5
937,5
1696,5
179,2
938,2
1697,2
180,2
939,2
1698,2
181,2
940,2
1699,2
182,2
941,2
1700,2
183,2
942,2
1701,2
184,2
943,2
1702,2
185,2
944,2
1703,2
186,2
945,2
1704,2
187,2
946,2
1705,2
188,5
947,5
1706,5
189,2
948,2
1707,2
190,5
949,5
1708,5
191,1
950,1
1709,1
192,2
951,2
1710,2
193,2
952,2
1711,2
194,2
953,2
1712,2
195,5
954,5
1713,5
196,3
955,3
1714,3
197,2
956,2
1715,2
198,2
957,2
1716,2
199,2
958,2
1717,2
200,2
959,2
1718,2
201,2
960,2
1719,2
202,2
961,2
1720,2
203,5
962,5
1721,5
204,2
963,2
1722,2
205,2
964,2
1723,2
206,2
965,2
1724,2
207,2
966,2
1725,2
208,2
967,2
1726,2
209,2
968,2
1727,2
210,2
969,2
1728,2
211,2
970,2
1729,2
212,2
971,2
1730,2
213,2
972,2
1731,2
214,1
973,1
1732,1
215,5
974,5
1733,5
216,5
975,5
1734,5
217,3
976,3
1735,3
218,3
977,3
1736,3
219,1
978,1
1737,1
220,3
979,3
1738,3
221,3
980,3
1739,3
222,5
981,5
1740,5
223,3
982,3
1741,3
224,3
983,3
1742,3
225,1
984,1
1743,1
226,6
985,6
1744,6
227,5
986,5
1745,5
228,5
987,5
1746,5
229,2
988,2
1747,2
230,1
989,1
1748,1
231,6
990,6
1749,6
232,3
991,3
1750,3
233,1
992,1
1751,1
234,3
993,3
1752,3
235,3
994,3
1753,3
236,5
995,5
1754,5
237,3
996,3
1755,3
238,4
997,4
1756,4
239,3
998,3
1757,3
240,3
999,3
1758,3
241,2
1000,2
1759,2
242,4
1001,4
1760,4
243,3
1002,3
1761,3
244,6
1003,6
1762,6
245,3
1004,3
1763,3
246,5
1005,5
1764,5
247,3
1006,3
1765,3
248,5
1007,5
1766,5
249,1
1008,1
1767,1
250,6
1009,6
1768,6
251,6
1010,6
1769,6
252,1
1011,1
1770,1
253,6
1012,6
1771,6
254,3
1013,3
1772,3
255,1
1014,1
1773,1
256,5
1015,5
1774,5
257,6
1016,6
1775,6
258,5
1017,5
1776,5
259,3
1018,3
1777,3
260,6
1019,6
1778,6
261,6
1020,6
1779,6
262,5
1021,5
1780,5
263,5
1022,5
1781,5
264,3
1023,3
1782,3
265,3
1024,3
1783,3
266,6
1025,6
1784,6
267,5
1026,5
1785,5
268,6
1027,6
1786,6
269,6
1028,6
1787,6
270,5
1029,5
1788,5
271,6
1030,6
1789,6
272,5
1031,5
1790,5
273,6
1032,6
1791,6
274,3
1033,3
1792,3
275,5
1034,5
1793,5
276,6
1035,6
1794,6
277,5
1036,5
1795,5
278,5
1037,5
1796,5
279,3
1038,3
1797,3
280,3
1039,3
1798,3
281,6
1040,6
1799,6
282,1
1041,1
1800,1
283,5
1042,5
1801,5
284,5
1043,5
1802,5
285,3
1044,3
1803,3
286,3
1045,3
1804,3
287,6
1046,6
1805,6
288,5
1047,5
1806,5
289,3
1048,3
1807,3
290,3
1049,3
1808,3
291,4
1050,4
1809,4
292,6
1051,6
1810,6
293,3
1052,3
1811,3
294,6
1053,6
1812,6
295,5
1054,5
1813,5
296,6
1055,6
1814,6
297,6
1056,6
1815,6
298,6
1057,6
1816,6
299,3
1058,3
1817,3
300,6
1059,6
1818,6
301,5
1060,5
1819,5
302,2
1061,2
1820,2
303,2
1062,2
1821,2
304,2
1063,2
1822,2
305,5
1064,5
1823,5
306,2
1065,2
1824,2
307,2
1066,2
1825,2
308,2
1067,2
1826,2
309,1
1068,1
1827,1
310,1
1069,1
1828,1
311,5
1070,5
1829,5
312,2
1071,2
1830,2
313,2
1072,2
1831,2
314,2
1073,2
1832,2
315,2
1074,2
1833,2
316,5
1075,5
1834,5
317,5
1076,5
1835,5
318,2
1077,2
1836,2
319,2
1078,2
1837,2
320,5
1079,5
1838,5
321,5
1080,5
1839,5
322,5
1081,5
1840,5
323,2
1082,2
1841,2
324,2
1083,2
1842,2
325,2
1084,2
1843,2
326,1
1085,1
1844,1
327,2
1086,2
1845,2
328,5
1087,5
1846,5
329,1
1088,1
1847,1
330,5
1089,5
1848,5
331,1
1090,1
1849,1
332,2
1091,2
1850,2
333,2
1092,2
1851,2
334,2
1093,2
1852,2
335,1
1094,1
1853,1
336,5
1095,5
1854,5
337,2
1096,2
1855,2
338,1
1097,1
1856,1
339,1
1098,1
1857,1
340,5
1099,5
1858,5
341,5
1100,5
1859,5
342,1
1101,1
1860,1
343,2
1102,2
1861,2
344,5
1103,5
1862,5
345,2
1104,2
1863,2
346,5
1105,5
1864,5
347,5
1106,5
1865,5
348,2
1107,2
1866,2
349,2
1108,2
1867,2
350,2
1109,2
1868,2
351,1
1110,1
1869,1
352,2
1111,2
1870,2
353,2
1112,2
1871,2
354,5
1113,5
1872,5
355,2
1114,2
1873,2
356,2
1115,2
1874,2
357,5
1116,5
1875,5
358,2
1117,2
1876,2
359,1
1118,1
1877,1
360,2
1119,2
1878,2
361,5
1120,5
1879,5
362,2
1121,2
1880,2
363,5
1122,5
1881,5
364,2
1123,2
1882,2
365,5
1124,5
1883,5
366,1
1125,1
1884,1
367,1
1126,1
1885,1
368,5
1127,5
1886,5
369,5
1128,5
1887,5
370,5
1129,5
1888,5
371,5
1130,5
1889,5
372,5
1131,5
1890,5
373,5
1132,5
1891,5
374,1
1133,1
1892,1
375,2
1134,2
1893,2
376,5
1135,5
1894,5
377,2
1136,2
1895,2
378,5
1137,5
1896,5
379,5
1138,5
1897,5
380,2
1139,2
1898,2
381,2
1140,2
1899,2
382,1
1141,1
1900,1
383,2
1142,2
1901,2
384,5
1143,5
1902,5
385,2
1144,2
1903,2
386,2
1145,2
1904,2
387,5
1146,5
1905,5
388,5
1147,5
1906,5
389,2
1148,2
1907,2
390,2
1149,2
1908,2
391,5
1150,5
1909,5
392,5
1151,5
1910,5
393,5
1152,5
1911,5
394,2
1153,2
1912,2
395,2
1154,2
1913,2
396,5
1155,5
1914,5
397,5
1156,5
1915,5
398,5
1157,5
1916,5
399,2
1158,2
1917,2
400,3
1159,3
1918,3
401,5
1160,5
1919,5
402,2
1161,2
1920,2
403,2
1162,2
1921,2
404,2
1163,2
1922,2
405,2
1164,2
1923,2
406,5
1165,5
1924,5
407,1
1166,1
1925,1
408,1
1167,1
1926,1
409,3
1168,3
1927,3
410,5
1169,5
1928,5
411,3
1170,3
1929,3
412,3
1171,3
1930,3
413,1
1172,1
1931,1
414,5
1173,5
1932,5
415,3
1174,3
1933,3
416,5
1175,5
1934,5
417,3
1176,3
1935,3
418,5
1177,5
1936,5
419,1
1178,1
1937,1
420,1
1179,1
1938,1
421,1
1180,1
1939,1
422,5
1181,5
1940,5
423,1
1182,1
1941,1
424,1
1183,1
1942,1
425,5
1184,5
1943,5
426,1
1185,1
1944,1
427,6
1186,6
1945,6
428,6
1187,6
1946,6
429,1
1188,1
1947,1
430,3
1189,3
1948,3
431,5
1190,5
1949,5
432,1
1191,1
1950,1
433,5
1192,5
1951,5
434,5
1193,5
1952,5
435,5
1194,5
1953,5
436,5
1195,5
1954,5
437,5
1196,5
1955,5
438,5
1197,5
1956,5
439,1
1198,1
1957,1
440,5
1199,5
1958,5
441,4
1200,4
1959,4
442,1
1201,1
1960,1
443,5
1202,5
1961,5
444,5
1203,5
1962,5
445,5
1204,5
1963,5
446,1
1205,1
1964,1
447,1
1206,1
1965,1
448,5
1207,5
1966,5
449,3
1208,3
1967,3
450,1
1209,1
1968,1
451,1
1210,1
1969,1
452,5
1211,5
1970,5
453,5
1212,5
1971,5
454,5
1213,5
1972,5
455,5
1214,5
1973,5
456,5
1215,5
1974,5
457,5
1216,5
1975,5
458,6
1217,6
1976,6
459,1
1218,1
1977,1
460,5
1219,5
1978,5
461,5
1220,5
1979,5
462,5
1221,5
1980,5
463,1
1222,1
1981,1
464,1
1223,1
1982,1
465,1
1224,1
1983,1
466,5
1225,5
1984,5
467,1
1226,1
1985,1
468,1
1227,1
1986,1
469,5
1228,5
1987,5
470,1
1229,1
1988,1
471,5
1230,5
1989,5
472,5
1231,5
1990,5
473,5
1232,5
1991,5
474,5
1233,5
1992,5
475,5
1234,5
1993,5
476,1
1235,1
1994,1
477,1
1236,1
1995,1
478,5
1237,5
1996,5
479,1
1238,1
1997,1
480,5
1239,5
1998,5
481,5
1240,5
1999,5
482,5
1241,5
2000,5
483,5
1242,5
2001,5
484,1
1243,1
2002,1
485,4
1244,4
2003,4
486,5
1245,5
2004,5
487,5
1246,5
2005,5
488,5
1247,5
2006,5
489,1
1248,1
2007,1
490,5
1249,5
2008,5
491,5
1250,5
2009,5
492,1
1251,1
2010,1
493,5
1252,5
2011,5
494,1
1253,1
2012,1
495,5
1254,5
2013,5
496,4
1255,4
2014,4
497,5
1256,5
498,5
1257,5
2015,5
499,1
1258,1
2016,1
500,5
1259,5
2017,5
501,5
1260,5
2018,5
502,5
1261,5
2019,5
503,5
1262,5
2020,5
504,1
1263,1
2021,1
505,5
1264,5
2022,5
506,5
1265,5
2023,5
507,5
1266,5
2024,5
508,1
1267,1
2025,1
509,5
1268,5
2026,5
510,4
1269,4
2027,4
511,5
1270,5
2028,5
512,1
1271,1
2029,1
513,5
1272,5
2030,5
514,2
1273,2
2031,2
515,4
1274,4
2032,4
516,4
1275,4
2033,4
517,1
1276,1
2034,1
518,1
1277,1
2035,1
519,4
1278,4
2036,4
520,4
1279,4
2037,4
521,4
1280,4
2038,4
522,1
1281,1
2039,1
523,1
1282,1
2040,1
524,1
1283,1
2041,1
525,4
1284,4
2042,4
526,4
1285,4
2043,4
527,4
1286,4
2044,4
528,5
1287,5
2045,5
529,5
1288,5
2046,5
530,4
1289,4
2047,4
531,5
1290,5
2048,5
532,5
1291,5
2049,5
533,4
1292,4
2050,4
534,4
1293,4
2051,4
535,1
1294,1
2052,1
536,1
1295,1
2053,1
537,5
1296,5
2054,5
538,1
1297,1
2055,1
539,4
1298,4
2056,4
540,1
1299,1
2057,1
541,5
1300,5
2058,5
542,4
1301,4
2059,4
543,1
1302,1
2060,1
544,4
1303,4
2061,4
545,1
1304,1
2062,1
546,4
1305,4
2063,4
547,4
1306,4
2064,4
548,1
1307,1
2065,1
549,1
1308,1
2066,1
550,1
1309,1
2067,1
551,5
1310,5
2068,5
552,5
1311,5
2069,5
553,5
1312,5
2070,5
554,1
1313,1
2071,1
555,1
1314,1
2072,1
556,1
1315,1
2073,1
557,1
1316,1
2074,1
558,1
1317,1
2075,1
559,1
1318,1
2076,1
560,1
1319,1
2077,1
561,1
1320,1
2078,1
562,1
1321,1
2079,1
563,4
1322,4
2080,4
564,4
1323,4
2081,4
565,1
1324,1
2082,1
566,1
1325,1
2083,1
567,1
1326,1
2084,1
568,1
1327,1
2085,1
569,1
1328,1
2086,1
570,1
1329,1
2087,1
571,1
1330,1
2088,1
572,4
1331,4
2089,4
573,1
1332,1
2090,1
574,1
1333,1
2091,1
575,1
1334,1
2092,1
576,1
1335,1
2093,1
577,1
1336,1
2094,1
578,1
1337,1
2095,1
579,1
1338,1
2096,1
580,1
1339,1
2097,1
581,1
1340,1
2098,1
582,1
1341,1
2099,1
583,1
1342,1
2100,1
584,1
1343,1
2101,1
585,1
1344,1
2102,1
586,1
1345,1
2103,1
587,1
1346,1
2104,1
588,1
1347,1
2105,1
589,1
1348,1
2106,1
590,1
1349,1
2107,1
591,1
1350,1
2108,1
592,1
1351,1
2109,1
593,1
1352,1
2110,1
594,1
1353,1
2111,1
595,1
1354,1
2112,1
596,1
1355,1
2113,1
597,1
1356,1
2114,1
598,1
1357,1
2115,1
599,1
1358,1
2116,1
600,1
1359,1
2117,1
601,1
1360,1
2118,1
602,4
1361,4
2119,4
603,1
1362,1
2120,1
604,1
1363,1
2121,1
605,1
1364,1
2122,1
606,1
1365,1
2123,1
607,1
1366,1
2124,1
608,1
1367,1
2125,1
609,4
1368,4
2126,4
610,1
1369,1
2127,1
611,1
1370,1
2128,1
612,1
1371,1
2129,1
613,1
1372,1
2130,1
614,1
1373,1
2131,1
615,1
1374,1
2132,1
616,1
1375,1
2133,1
617,1
1376,1
2134,1
618,1
1377,1
2135,1
619,1
1378,1
2136,1
620,1
1379,1
2137,1
621,1
1380,1
2138,1
622,1
1381,1
2139,1
623,1
1382,1
2140,1
624,4
1383,4
2141,4
625,1
1384,1
2142,1
626,1
1385,1
2143,1
627,5
1386,5
2144,5
628,1
1387,1
2145,1
629,1
1388,1
2146,1
630,5
1389,5
2147,5
631,3
1390,3
2148,3
632,4
1391,4
2149,4
633,4
1392,4
2150,4
634,5
1393,5
2151,5
635,5
1394,5
2152,5
636,5
1395,5
2153,5
637,5
1396,5
2154,5
638,1
1397,1
2155,1
639,5
1398,5
2156,5
640,2
1399,2
2157,2
641,1
1400,1
2158,1
642,5
1401,5
2159,5
643,5
1402,5
2160,5
644,3
1403,3
2161,3
645,3
1404,3
2162,3
646,5
1405,5
2163,5
647,2
1406,2
2164,2
648,5
1407,5
2165,5
649,5
1408,5
2166,5
650,5
1409,5
2167,5
651,1
1410,1
2168,1
652,5
1411,5
2169,5
653,3
1412,3
2170,3
654,5
1413,5
2171,5
655,5
1414,5
2172,5
656,5
1415,5
2173,5
657,5
1416,5
2174,5
658,1
1417,1
2175,1
659,4
1418,4
2176,4
660,1
1419,1
2177,1
661,5
1420,5
2178,5
662,5
1421,5
2179,5
663,5
1422,5
2180,5
664,5
1423,5
2181,5
665,5
1424,5
2182,5
666,5
1425,5
2183,5
667,5
1426,5
2184,5
668,5
1427,5
2185,5
669,6
1428,6
2186,6
670,5
1429,5
2187,5
671,5
1430,5
2188,5
672,5
1431,5
2189,5
673,5
1432,5
2190,5
674,5
1433,5
2191,5
675,1
1434,1
2192,1
676,5
1435,5
2193,5
677,5
1436,5
2194,5
678,6
1437,6
2195,6
679,5
1438,5
2196,5
680,5
1439,5
2197,5
681,1
1440,1
2198,1
682,1
1441,1
2199,1
683,5
1442,5
2200,5
684,5
1443,5
2201,5
685,5
1444,5
2202,5
686,5
1445,5
2203,5
687,3
1446,3
2204,3
688,5
1447,5
2205,5
689,5
1448,5
2206,5
690,1
1449,1
2207,1
691,1
1450,1
2208,1
692,4
1451,4
2209,4
693,5
1452,5
2210,5
694,1
1453,1
2211,1
695,5
1454,5
2212,5
696,5
1455,5
2213,5
697,5
1456,5
2214,5
698,5
1457,5
2215,5
699,5
1458,5
2216,5
700,6
1459,6
2217,6
701,5
1460,5
2218,5
702,5
1461,5
2219,5
703,1
1462,1
2220,1
704,1
1463,1
2221,1
705,1
1464,1
2222,1
706,5
1465,5
2223,5
707,1
1466,1
2224,1
708,1
1467,1
2225,1
709,1
1468,1
2226,1
710,5
1469,5
2227,5
711,1
1470,1
2228,1
712,5
1471,5
2229,5
713,1
1472,1
2230,1
714,5
1473,5
2231,5
715,5
1474,5
2232,5
716,5
1475,5
2233,5
717,5
1476,5
2234,5
718,1
1477,1
2235,1
719,5
1478,5
2236,5
720,3
1479,3
2237,3
721,5
1480,5
2238,5
722,1
1481,1
2239,1
723,5
1482,5
2240,5
724,5
1483,5
2241,5
725,2
1484,2
2242,2
726,5
1485,5
2243,5
727,1
1486,1
2244,1
728,5
1487,5
2245,5
729,5
1488,5
2246,5
730,1
1489,1
2247,1
731,1
1490,1
2248,1
732,1
1491,1
2249,1
733,5
1492,5
2250,5
734,5
1493,5
2251,5
735,5
1494,5
2252,5
736,5
1495,5
2253,5
737,5
1496,5
2254,5
738,5
1497,5
2255,5
739,5
1498,5
2256,5
740,5
1499,5
2257,5
741,5
1500,5
2258,5
742,5
1501,5
2259,5
743,1
1502,1
2260,1
744,1
1503,1
2261,1
745,2
1504,2
2262,2
746,2
1505,2
2263,2
747,1
1506,1
2264,1
748,5
1507,5
2265,5
749,2
1508,2
2266,2
750,5
1509,5
2267,5
751,3
1510,3
2268,3
752,5
1511,5
2269,5
753,5
1512,5
2270,5
754,5
1513,5
2271,5
755,5
1514,5
756,5
1515,5
2272,5
757,5
1516,5
2273,5
758,1
1517,1
2274,1
759,1
1518,1
2275,1
